model,accuracy_mean,accuracy_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,roc_auc_mean,roc_auc_std
random_forest,0.9391705069124423,0.015454231392082674,0.9685114934742357,0.008060809716462449,0.9420345328330522,0.01259553704386205,0.9966101694915255,0.006779661016949134,0.9784141827391389,0.012485544216621111
svm_rbf,0.9488479262672811,0.027389876790011907,0.9735528157882852,0.014220189449078378,0.9518177163338454,0.024857806721029843,0.9966101694915255,0.006779661016949134,0.9681570231833236,0.02486843118361612
logistic_regression,0.9519713261648745,0.014202426755885691,0.9745270032024189,0.007655572385129058,0.9698082615335307,0.011885288706933532,0.9794856808883694,0.012794594320024303,0.928268069355153,0.08095861429691414
gradient_boosting,0.8942140296979006,0.03891900423872473,0.9413340493551903,0.023592473127496173,0.9688517982865072,0.016459266053665895,0.9180596142606662,0.05703428093714937,0.888676212741087,0.07758571709872794
